Late-demographic dividend,LTE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.491766644
Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.519456418
Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.44261306
Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.574298418
"Macao SAR, China",MAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.37478216
St. Martin (French part),MAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Morocco,MAR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.744435849
Monaco,MCO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Moldova,MDA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.825536995
Madagascar,MDG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.156876974
Maldives,MDV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.03839853
Middle East & North Africa,MEA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.01649233
Mexico,MEX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.943827403
Marshall Islands,MHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.477058976
Middle income,MIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.749707228
North Macedonia,MKD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.388998171
Mali,MLI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.176967052
Malta,MLT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.947412574
Myanmar,MMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.476580079
Middle East & North Africa (excluding high income),MNA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.984350242
Montenegro,MNE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.240945327
Mongolia,MNG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.300172198
Northern Mariana Islands,MNP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Mozambique,MOZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.285402032
Mauritania,MRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.657914406
Mauritius,MUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.442148744
